,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
1476,2020-04-02,PR,Campo Largo,city,5.0,0.0,17.0,True,132002.0,4104204,3.7878199999999995,0.0,-25.4525,-49.529,41.0,Paraná
1498,2020-04-02,PR,Campo Mourão,city,8.0,1.0,9.0,True,94859.0,4104303,8.43357,0.125,-24.0463,-52.378,41.0,Paraná
1515,2020-04-02,MG,Campos Altos,city,1.0,0.0,11.0,True,15461.0,3111507,6.467890000000001,0.0,-19.6914,-46.1725,31.0,Minas Gerais
1536,2020-04-01,RJ,Campos dos Goytacazes,city,1.0,0.0,9.0,True,507548.0,3301009,0.19702999999999998,0.0,-21.7622,-41.3181,33.0,Rio de Janeiro
1550,2020-04-02,BA,Canarana,city,1.0,0.0,9.0,True,26176.0,2906204,3.82029,0.0,-11.6858,-41.7677,29.0,Bahia
1566,2020-04-02,BA,Candeias,city,1.0,0.0,3.0,True,87076.0,2906501,1.14842,0.0,-12.6716,-38.5472,29.0,Bahia
1576,2020-04-02,SC,Canelinha,city,1.0,0.0,9.0,True,12240.0,4203709,8.16993,0.0,-27.2616,-48.7658,42.0,Santa Catarina
1586,2020-04-02,RS,Canguçu,city,1.0,0.0,6.0,True,56045.0,4304507,1.7842799999999999,0.0,-31.396,-52.6783,43.0,Rio Grande do Sul
1597,2020-04-02,RS,Canoas,city,8.0,0.0,13.0,True,346616.0,4304606,2.30803,0.0,-29.9128,-51.1857,43.0,Rio Grande do Sul
1617,2020-04-02,RR,Cantá,city,3.0,0.0,1.0,True,18335.0,1400175,16.36215,0.0,2.60994,-60.6058,14.0,Roraima
1648,2020-04-02,MG,Capitólio,city,1.0,0.0,2.0,True,8632.0,3112802,11.5848,0.0,-20.6164,-46.0493,31.0,Minas Gerais
1659,2020-04-02,RS,Capão da Canoa,city,2.0,0.0,11.0,True,53049.0,4304630,3.7701,0.0,-29.7642,-50.0282,43.0,Rio Grande do Sul
1671,2020-04-02,RS,Capão do Leão,city,1.0,0.0,3.0,True,25354.0,4304663,3.94415,0.0,-31.7565,-52.4889,43.0,Rio Grande do Sul
1683,2020-04-01,SP,Carapicuíba,city,7.0,0.0,11.0,True,400927.0,3510609,1.74595,0.0,-23.5235,-46.8407,35.0,São Paulo
1710,2020-04-02,AM,Careiro da Várzea,city,1.0,0.0,3.0,True,30225.0,1301159,3.3085199999999997,0.0,-3.314,-59.5557,13.0,Amazonas
1713,2020-04-01,ES,Cariacica,city,7.0,0.0,13.0,True,381285.0,3201308,1.8359,0.0,-20.2632,-40.4165,32.0,Espírito Santo
1735,2020-04-02,RS,Carlos Barbosa,city,1.0,0.0,13.0,True,29833.0,4304804,3.3519900000000002,0.0,-29.2969,-51.5028,43.0,Rio Grande do Sul
1755,2020-04-02,MG,Carmo do Cajuru,city,1.0,0.0,7.0,True,22478.0,3114204,4.44879,0.0,-20.1912,-44.7664,31.0,Minas Gerais
1769,2020-04-01,RN,Carnaubais,city,1.0,0.0,3.0,True,10759.0,2402501,9.29454,0.0,-5.34181,-36.8335,24.0,Rio Grande do Norte
1784,2020-04-02,PE,Caruaru,city,1.0,0.0,11.0,True,361118.0,2604106,0.27692,0.0,-8.28455,-35.9699,26.0,Pernambuco
1804,2020-04-02,PR,Cascavel,city,13.0,1.0,11.0,True,328454.0,4104808,3.9579400000000002,0.0769,-24.9573,-53.459,41.0,Paraná
1821,2020-04-02,PA,Castanhal,city,1.0,0.0,8.0,True,200793.0,1502400,0.49803000000000003,0.0,-1.29797,-47.9167,15.0,Pará
1831,2020-04-01,ES,Castelo,city,2.0,0.0,7.0,True,37534.0,3201407,5.3285,0.0,-20.6033,-41.2031,32.0,Espírito Santo
1841,2020-04-02,PR,Castro,city,1.0,0.0,5.0,True,71484.0,4104907,1.39891,0.0,-24.7891,-50.0108,41.0,Paraná
1848,2020-04-02,GO,Catalão,city,1.0,0.0,12.0,True,108823.0,5205109,0.9189200000000001,0.0,-18.1656,-47.944,52.0,Goiás
1871,2020-04-02,BA,Catu,city,0.0,0.0,3.0,True,54704.0,2907509,0.0,0.0,-12.3513,-38.3791,29.0,Bahia
1881,2020-04-01,CE,Caucaia,city,1.0,0.0,5.0,True,361400.0,2303709,0.2767,0.0,-3.72797,-38.6619,23.0,Ceará
1890,2020-04-02,RS,Caxias do Sul,city,13.0,0.0,19.0,True,510906.0,4305108,2.5445,0.0,-29.1629,-51.1792,43.0,Rio Grande do Sul
1915,2020-04-01,RN,Ceará-Mirim,city,1.0,0.0,1.0,True,73497.0,2402600,1.3606,0.0,-5.64323,-35.4247,24.0,Rio Grande do Norte
1941,2020-04-02,RS,Cerro Grande do Sul,city,1.0,0.0,9.0,True,12239.0,4305173,8.1706,0.0,-30.5905,-51.7418,43.0,Rio Grande do Sul
1965,2020-04-02,SC,Chapecó,city,5.0,0.0,14.0,True,220367.0,4204202,2.26894,0.0,-27.1004,-52.6152,42.0,Santa Catarina
1980,2020-04-02,RS,Charqueadas,city,1.0,0.0,13.0,True,40789.0,4305355,2.4516400000000003,0.0,-29.9625,-51.6289,43.0,Rio Grande do Sul
