,Sexo,Generalistas,%,Especialistas,%.1,Total,Razão E/G
0,Feminino,72.382,"38,2",116.899,"61,8",189.28099999999998,1.59
1,Masculino,81.45,"36,1",144.1,"63,9",225.55,1.73
